forecast_date,item_id,store_id,predicted_demand,actual_demand
2016-04-24,FOODS_3_090,CA_1,70.12523637698979,42
2016-04-24,FOODS_3_120,CA_1,46.83366326743779,59
2016-04-24,FOODS_3_252,CA_1,45.58270133886241,52
2016-04-24,FOODS_3_586,CA_1,44.91472827291988,54
2016-04-24,FOODS_3_064,CA_1,33.77285721726615,20
2016-04-24,FOODS_3_282,CA_1,26.702411024733802,31
2016-04-24,FOODS_3_511,CA_1,25.755039806344605,26
2016-04-24,FOODS_3_587,CA_1,25.45832207463843,26
2016-04-24,FOODS_3_295,CA_1,24.72868361833397,24
2016-04-24,FOODS_3_501,CA_1,22.946350086544346,16
2016-04-24,FOODS_3_714,CA_1,22.887650897442075,27
2016-04-24,FOODS_3_681,CA_1,22.765656445070274,26
2016-04-24,FOODS_3_555,CA_1,21.25057333460191,24
2016-04-24,FOODS_3_811,CA_1,21.06690111811273,29
2016-04-24,FOODS_3_080,CA_1,20.102442763452842,25
2016-04-24,FOODS_2_197,CA_1,19.908071573771874,33
2016-04-24,FOODS_3_202,CA_1,19.19388387649832,23
2016-04-24,FOODS_3_741,CA_1,18.568201206668185,24
2016-04-24,FOODS_3_288,CA_1,18.316888680948367,24
2016-04-24,FOODS_3_362,CA_1,17.774524705341577,23
2016-04-24,FOODS_2_019,CA_1,17.115057285742676,22
2016-04-24,FOODS_3_099,CA_1,16.953586282657657,20
2016-04-24,FOODS_3_739,CA_1,16.84277076222578,7
2016-04-24,FOODS_3_406,CA_1,16.480281436056405,9
2016-04-24,HOUSEHOLD_1_465,CA_1,16.204286533263964,24
2016-04-24,HOUSEHOLD_1_334,CA_1,16.154030513446244,9
2016-04-24,FOODS_3_723,CA_1,16.146607236315557,15
2016-04-24,FOODS_3_697,CA_1,14.6558601355726,17
2016-04-24,FOODS_3_785,CA_1,14.243141000908768,29
2016-04-24,FOODS_3_607,CA_1,14.106926560372392,20
2016-04-24,HOUSEHOLD_1_418,CA_1,13.958111949294944,17
2016-04-24,FOODS_3_499,CA_1,13.764370878401932,22
2016-04-24,FOODS_3_702,CA_1,13.74143804052445,15
2016-04-24,FOODS_3_318,CA_1,13.614289605109573,9
2016-04-24,HOBBIES_1_048,CA_1,13.587217044066948,21
2016-04-24,FOODS_3_491,CA_1,13.575069485171502,15
2016-04-24,FOODS_3_329,CA_1,13.474232155967815,18
2016-04-24,FOODS_2_276,CA_1,12.648300286317209,12
2016-04-24,FOODS_3_755,CA_1,12.532282882493446,31
2016-04-24,FOODS_3_086,CA_1,12.276442465356608,16
2016-04-24,FOODS_3_020,CA_1,12.204914546078541,20
2016-04-24,HOUSEHOLD_1_096,CA_1,11.836474631804753,16
2016-04-24,FOODS_2_347,CA_1,11.83175869539603,11
2016-04-24,HOBBIES_1_371,CA_1,11.758823989283673,2
2016-04-24,FOODS_1_018,CA_1,11.727607821132633,13
2016-04-24,HOBBIES_1_268,CA_1,11.624634614788976,9
2016-04-24,FOODS_3_694,CA_1,11.547034013976626,16
2016-04-24,FOODS_3_760,CA_1,11.540585654886597,11
2016-04-24,HOUSEHOLD_1_191,CA_1,11.510884906833375,17
2016-04-24,FOODS_1_099,CA_1,11.459521519831833,9
2016-04-24,HOUSEHOLD_1_032,CA_1,11.385638705640597,6
